index,athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
0,"Bonds, Tiana",Arizona,Big 12,100H,2019,SR-4,,,14.01,seconds,2019 Willie Williams Classic College,2019-03-15,,,-1.8,Outdoor,https://www.tfrrs.org/results/59265/3679521/2019_Willie_Williams_Classic_College/100-Hurdles,TFRRS all_performances
1,"Sutton, April",Arizona,Big 12,100H,2019,JR-3,,,14.44,seconds,2019 Willie Williams Classic College,2019-03-15,,,-1.8,Outdoor,https://www.tfrrs.org/results/59265/3679521/2019_Willie_Williams_Classic_College/100-Hurdles,TFRRS all_performances
2,"Akpede, Crystal",Arizona,Big 12,400m,2019,JR-3,,,59.16,seconds,2019 Willie Williams Classic College,2019-03-15,,,,Outdoor,https://www.tfrrs.org/results/59265/3679519/2019_Willie_Williams_Classic_College/400-Meters,TFRRS all_performances
3,"Meisberger, Shannon",Arizona,Big 12,400m,2019,SO-2,,,54.40,seconds,2019 Willie Williams Classic College,2019-03-15,,,,Outdoor,https://www.tfrrs.org/results/59265/3679519/2019_Willie_Williams_Classic_College/400-Meters,TFRRS all_performances
4,"Pahlitzsch, Karolina",Arizona,Big 12,400m,2019,SR-4,,,54.01,seconds,2019 Willie Williams Classic College,2019-03-15,,,,Outdoor,https://www.tfrrs.org/results/59265/3679519/2019_Willie_Williams_Classic_College/400-Meters,TFRRS all_performances
5,"Baxter-Game, Judith",Arizona,Big 12,Long Jump,2019,FR-1,,,5.16,m,2019 Willie Williams Classic College,2019-03-15,,,+0.0,Outdoor,https://www.tfrrs.org/results/59265/3679528/2019_Willie_Williams_Classic_College/Long-Jump,TFRRS all_performances
6,"Baxter-Game, Judith",Arizona,Big 12,Long Jump,2019,FR-1,,,5.30,m,2019 Willie Williams Classic College,2019-03-15,,,1.2,Outdoor,https://www.tfrrs.org/results/59265/3679528/2019_Willie_Williams_Classic_College/Long-Jump,TFRRS all_performances
7,"Baxter-Game, Judith",Arizona,Big 12,Long Jump,2019,FR-1,,,5.44,m,2019 Willie Williams Classic College,2019-03-15,,,0.7,Outdoor,https://www.tfrrs.org/results/59265/3679528/2019_Willie_Williams_Classic_College/Long-Jump,TFRRS all_performances
8,"Hawthorne, Chandra",Arizona,Big 12,Long Jump,2019,JR-3,,,4.79,m,2019 Willie Williams Classic College,2019-03-15,,,+0.0,Outdoor,https://www.tfrrs.org/results/59265/3679528/2019_Willie_Williams_Classic_College/Long-Jump,TFRRS all_performances
9,"Hawthorne, Chandra",Arizona,Big 12,Long Jump,2019,JR-3,,,5.51,m,2019 Willie Williams Classic College,2019-03-15,,,0.9,Outdoor,https://www.tfrrs.org/results/59265/3679528/2019_Willie_Williams_Classic_College/Long-Jump,TFRRS all_performances
10,"Hawthorne, Chandra",Arizona,Big 12,Long Jump,2019,JR-3,,,5.59,m,2019 Willie Williams Classic College,2019-03-15,,,-0.2,Outdoor,https://www.tfrrs.org/results/59265/3679528/2019_Willie_Williams_Classic_College/Long-Jump,TFRRS all_performances
11,"Howard, Neysia",Arizona,Big 12,Long Jump,2019,FR-1,,,5.34,m,2019 Willie Williams Classic College,2019-03-15,,,-1.9,Outdoor,https://www.tfrrs.org/results/59265/3679528/2019_Willie_Williams_Classic_College/Long-Jump,TFRRS all_performances
12,"Howard, Neysia",Arizona,Big 12,Long Jump,2019,FR-1,,,5.43,m,2019 Willie Williams Classic College,2019-03-15,,,-0.4,Outdoor,https://www.tfrrs.org/results/59265/3679528/2019_Willie_Williams_Classic_College/Long-Jump,TFRRS all_performances
13,"Howard, Neysia",Arizona,Big 12,Long Jump,2019,FR-1,,,5.49,m,2019 Willie Williams Classic College,2019-03-15,,,+0.0,Outdoor,https://www.tfrrs.org/results/59265/3679528/2019_Willie_Williams_Classic_College/Long-Jump,TFRRS all_performances
14,"Howard, Neysia",Arizona,Big 12,Long Jump,2019,FR-1,,,5.56,m,2019 Willie Williams Classic College,2019-03-15,,,-0.1,Outdoor,https://www.tfrrs.org/results/59265/3679528/2019_Willie_Williams_Classic_College/Long-Jump,TFRRS all_performances
15,"Howard, Neysia",Arizona,Big 12,Long Jump,2019,FR-1,,,5.63,m,2019 Willie Williams Classic College,2019-03-15,,,0.6,Outdoor,https://www.tfrrs.org/results/59265/3679528/2019_Willie_Williams_Classic_College/Long-Jump,TFRRS all_performances
16,"Poirier-Shelton, Tiana",Arizona,Big 12,Long Jump,2019,SO-2,,,5.67,m,2019 Willie Williams Classic College,2019-03-15,,,+0.0,Outdoor,https://www.tfrrs.org/results/59265/3679528/2019_Willie_Williams_Classic_College/Long-Jump,TFRRS all_performances
17,"Poirier-Shelton, Tiana",Arizona,Big 12,Long Jump,2019,SO-2,,,5.81,m,2019 Willie Williams Classic College,2019-03-15,,,+0.0,Outdoor,https://www.tfrrs.org/results/59265/3679528/2019_Willie_Williams_Classic_College/Long-Jump,TFRRS all_performances
