index,athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
0,"Smyers-Jones, Kortni",Illinois,Big Ten,100H,2016,JR-3,,,14.01,seconds,Baldy Castillo Invitational,2016-03-18,,,-0.8,Outdoor,https://www.tfrrs.org/results/44544/2718698/Baldy_Castillo_Invitational/100-Hurdles,TFRRS all_performances
1,"Stewart, Jayla",Illinois,Big Ten,100H,2016,FR-1,,,13.81,seconds,Baldy Castillo Invitational,2016-03-18,,,-0.8,Outdoor,https://www.tfrrs.org/results/44544/2718698/Baldy_Castillo_Invitational/100-Hurdles,TFRRS all_performances
2,"Berry, Jasmine",Illinois,Big Ten,400H,2016,SO-2,,,1:02.00,seconds,Baldy Castillo Invitational,2016-03-18,,,,Outdoor,https://www.tfrrs.org/results/44544/2718685/Baldy_Castillo_Invitational/400-Hurdles,TFRRS all_performances
3,"Marry, Miranda",Illinois,Big Ten,400H,2016,SO-2,,,1:03.66,seconds,Baldy Castillo Invitational,2016-03-18,,,,Outdoor,https://www.tfrrs.org/results/44544/2718685/Baldy_Castillo_Invitational/400-Hurdles,TFRRS all_performances
4,"Driver, Briana",Illinois,Big Ten,Long Jump,2016,FR-1,,,5.19,m,Baldy Castillo Invitational,2016-03-18,,,0.7,Outdoor,https://www.tfrrs.org/results/44544/2718705/Baldy_Castillo_Invitational/Long-Jump,TFRRS all_performances
5,"Driver, Briana",Illinois,Big Ten,Long Jump,2016,FR-1,,,5.26,m,Baldy Castillo Invitational,2016-03-18,,,0.1,Outdoor,https://www.tfrrs.org/results/44544/2718705/Baldy_Castillo_Invitational/Long-Jump,TFRRS all_performances
6,"Driver, Briana",Illinois,Big Ten,Long Jump,2016,FR-1,,,5.46,m,Baldy Castillo Invitational,2016-03-18,,,0.1,Outdoor,https://www.tfrrs.org/results/44544/2718705/Baldy_Castillo_Invitational/Long-Jump,TFRRS all_performances
7,"Rogers, Janile",Illinois,Big Ten,Long Jump,2016,FR-1,,,5.17,m,Baldy Castillo Invitational,2016-03-18,,,+0.0,Outdoor,https://www.tfrrs.org/results/44544/2718705/Baldy_Castillo_Invitational/Long-Jump,TFRRS all_performances
8,"Rogers, Janile",Illinois,Big Ten,Long Jump,2016,FR-1,,,5.38,m,Baldy Castillo Invitational,2016-03-18,,,0.2,Outdoor,https://www.tfrrs.org/results/44544/2718705/Baldy_Castillo_Invitational/Long-Jump,TFRRS all_performances
9,"Rogers, Janile",Illinois,Big Ten,Long Jump,2016,FR-1,,,5.62,m,Baldy Castillo Invitational,2016-03-18,,,+0.0,Outdoor,https://www.tfrrs.org/results/44544/2718705/Baldy_Castillo_Invitational/Long-Jump,TFRRS all_performances
