school,season,gender,athlete,event,performance,meet,meet_date,class_year,age_at_meet,source
Virginia,2022,Women,Anzhelika Parenchuk,400H,1:03.76,Virginia Open,2022-03-19,FR-1,,TFRRS
Virginia,2022,Women,Emily Alexandru,400H,1:01.99,Virginia Open,2022-03-19,FR-1,,TFRRS
Virginia,2022,Women,Alahna Sabbakhan,400m,57.24,Virginia Open,2022-03-19,SO-2,,TFRRS
Virginia,2022,Women,Alix Still,Long Jump,6.17m (3.8),Virginia Open,2022-03-19,JR-3,,TFRRS
Virginia,2022,Women,Jordan Hardy,Long Jump,5.81m (1.4),Virginia Open,2022-03-19,FR-1,,TFRRS
Virginia,2022,Women,Mia Abulencia,Long Jump,5.65m (3.4),Virginia Open,2022-03-19,JR-3,,TFRRS
Virginia,2022,Women,Zoe Rice,Long Jump,6.19m (2.9),Virginia Open,2022-03-19,JR-3,,TFRRS
Virginia,2022,Women,Alix Still,100H,14.12 (0.6),Raleigh Relays,2022-03-24/26,JR-3,,TFRRS
Virginia,2022,Women,Anzhelika Parenchuk,400H,1:03.65,Raleigh Relays,2022-03-24/26,FR-1,,TFRRS
Virginia,2022,Women,Emily Alexandru,400H,1:02.47,Raleigh Relays,2022-03-24/26,FR-1,,TFRRS
Virginia,2022,Women,Jada Seaman,Long Jump,6.02m (1.9),Raleigh Relays,2022-03-24/26,SO-2,,TFRRS
Virginia,2022,Women,Alix Still,100H,13.82 (1.7),Duke Invitational - Heptathlon,2022-04-07/09,JR-3,,TFRRS
Virginia,2022,Women,Emily Alexandru,100H,16.83 (0.6),Duke Invitational,2022-04-07/09,FR-1,,TFRRS
Virginia,2022,Women,Anzhelika Parenchuk,400H,1:01.56,Duke Invitational,2022-04-07/09,FR-1,,TFRRS
Virginia,2022,Women,Emily Alexandru,400H,1:05.07,Duke Invitational,2022-04-07/09,FR-1,,TFRRS
Virginia,2022,Women,Alix Still,Long Jump,5.77m (1.7),Duke Invitational - Heptathlon,2022-04-07/09,JR-3,,TFRRS
Virginia,2022,Women,Jada Seaman,Long Jump,6.12m (3.0),Duke Invitational,2022-04-07/09,SO-2,,TFRRS
Virginia,2022,Women,Jordan Hardy,Long Jump,5.43m (2.9),Duke Invitational,2022-04-07/09,FR-1,,TFRRS
Virginia,2022,Women,Zoe Rice,Long Jump,5.72m (2.5),Duke Invitational,2022-04-07/09,JR-3,,TFRRS
Virginia,2022,Women,Alix Still,100H,14.42 (-1.7),Virginia Challenge,2022-04-22/23,JR-3,,TFRRS
Virginia,2022,Women,Anzhelika Parenchuk,400H,1:02.68,Virginia Challenge,2022-04-22/23,FR-1,,TFRRS
Virginia,2022,Women,Emily Alexandru,400H,1:01.77,Virginia Challenge,2022-04-22/23,FR-1,,TFRRS
Virginia,2022,Women,Alix Still,Long Jump,5.79m (0.5),Virginia Challenge,2022-04-22/23,JR-3,,TFRRS
Virginia,2022,Women,Jada Seaman,Long Jump,5.92m (1.3),Virginia Challenge,2022-04-22/23,SO-2,,TFRRS
Virginia,2022,Women,Mia Abulencia,Long Jump,5.51m (1.2),Virginia Challenge,2022-04-22/23,JR-3,,TFRRS
Virginia,2022,Women,Zoe Rice,Long Jump,5.61m (2.0),Virginia Challenge,2022-04-22/23,JR-3,,TFRRS
Virginia,2022,Women,Jada Seaman,Long Jump,6.07m (-0.4),Penn Relays,2022-04-28/30,SO-2,,TFRRS
Virginia,2022,Women,Emily Alexandru,400H,1:02.13,Virginia Grand Prix,2022-05-01,FR-1,,TFRRS
Virginia,2022,Women,Anzhelika Parenchuk,400m,56.45,Virginia Grand Prix,2022-05-01,FR-1,,TFRRS
Virginia,2022,Women,Emily Alexandru,400H,1:01.01,Virginia High Performance,2022-05-04,FR-1,,TFRRS
Virginia,2022,Women,Alahna Sabbakhan,400m,56.79,Virginia High Performance,2022-05-04,SO-2,,TFRRS
Virginia,2022,Women,Alix Still,Long Jump,5.65m (0.8),Virginia High Performance,2022-05-04,JR-3,,TFRRS
Virginia,2022,Women,Jordan Hardy,Long Jump,5.83m (0.5),Virginia High Performance,2022-05-04,FR-1,,TFRRS
Virginia,2022,Women,Mia Abulencia,Long Jump,5.66m (1.5),Virginia High Performance,2022-05-04,JR-3,,TFRRS
