athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Shy'Keya Wimberly,Florida State,ACC,400H,2018,SR,,,66.48,s,Bulls Invitational,2018-03-17,Final,12,,Outdoor,https://www.nolefan.org/summary/wtf2018.html,audited_2026-09-21; FSU season-by-season year review
Cortney Jones,Florida State,ACC,100H,2018,SO,,,13.06,s,FSU Relays,2018-03-23,Final,1,0.2,Outdoor,https://florida.tfrrs.org/results/55228/3362601/FSU_Relays/Womens-100-Hurdles,audited_2026-09-21; FSU official bio/year review + meet/championship cross-check
Shy'Keya Wimberly,Florida State,ACC,400H,2018,SR,,,65.27,s,FSU Relays,2018-03-23,Final,8,,Outdoor,https://www.nolefan.org/summary/wtf2018.html,audited_2026-09-21; FSU season-by-season year review
Janae Caldwell,Florida State,ACC,400m,2018,SO,,,57.39,s,FSU Relays,2018-03-23,Final,8,,Outdoor,https://www.nolefan.org/summary/wtf2018.html,audited_2026-09-21; FSU season-by-season year review
Shy'Keya Wimberly,Florida State,ACC,400H,2018,SR,,,66.61,s,Florida Relays,2018-03-31,Final,50,,Outdoor,https://www.nolefan.org/summary/wtf2018.html,audited_2026-09-21; FSU season-by-season year review
Janae Caldwell,Florida State,ACC,400m,2018,SO,,,56.29,s,Florida Relays,2018-03-31,Final,43,,Outdoor,https://www.nolefan.org/summary/wtf2018.html,audited_2026-09-21; FSU season-by-season year review
Cortney Jones,Florida State,ACC,100H,2018,SO,,,13.03,s,Tiger Track Classic,2018-04-14,Final,3,wind-aided,Outdoor,https://www.nolefan.org/summary/wtf2018.html,audited_2026-09-21; FSU official bio/year review + meet/championship cross-check
Shy'Keya Wimberly,Florida State,ACC,400H,2018,SR,,,65.87,s,Tiger Track Classic,2018-04-14,Final,23,,Outdoor,https://www.nolefan.org/summary/wtf2018.html,audited_2026-09-21; FSU season-by-season year review
Janae Caldwell,Florida State,ACC,400m,2018,SO,,,56.37,s,Tiger Track Classic,2018-04-14,Final,11,,Outdoor,https://www.nolefan.org/summary/wtf2018.html,audited_2026-09-21; FSU season-by-season year review
Cortney Jones,Florida State,ACC,100H,2018,SO,,,13.27,s,National Relay Championship,2018-04-28,Final,9,wind-aided,Outdoor,https://www.nolefan.org/summary/wtf2018.html,audited_2026-09-21; FSU official bio/year review + meet/championship cross-check
Janae Caldwell,Florida State,ACC,400m,2018,SO,,,56.75,s,National Relay Championship,2018-04-28,Final,32,,Outdoor,https://www.nolefan.org/summary/wtf2018.html,audited_2026-09-21; FSU season-by-season year review
Shy'Keya Wimberly,Florida State,ACC,400H,2018,SR,,,64.91,s,Seminole Twilight,2018-05-04,Final,2,,Outdoor,https://www.nolefan.org/summary/wtf2018.html,audited_2026-09-21; FSU season-by-season year review
Janae Caldwell,Florida State,ACC,400m,2018,SO,,,55.39,s,Seminole Twilight,2018-05-04,Final,1,,Outdoor,https://www.nolefan.org/summary/wtf2018.html,audited_2026-09-21; FSU season-by-season year review
Cortney Jones,Florida State,ACC,100H,2018,SO,,,13.19,s,ACC Outdoor Championship,2018-05-10,Prelim,2,,Outdoor,https://www.nolefan.org/summary/wtf2018.html,audited_2026-09-21; FSU official bio/year review + meet/championship cross-check
Cortney Jones,Florida State,ACC,100H,2018,SO,,,12.93,s,ACC Outdoor Championship,2018-05-12,Final,2,2.7,Outdoor,https://seminoles.com/sports/womens-track-and-field/roster/cortney-jones/3343,audited_2026-09-21; FSU official bio/year review + meet/championship cross-check
Janae Caldwell,Florida State,ACC,400m,2018,SO,,,56.20,s,ACC Outdoor Championship,2018-05-12,Final,20,,Outdoor,https://www.nolefan.org/summary/wtf2018.html,audited_2026-09-21; FSU season-by-season year review
Kimmie Cunningham,Florida State,ACC,400m,2018,SO,,,56.48,s,ACC Outdoor Championship,2018-05-12,Final,21,,Outdoor,https://www.nolefan.org/summary/wtf2018.html,audited_2026-09-21; FSU season-by-season year review
Cortney Jones,Florida State,ACC,100H,2018,SO,,,13.10,s,NCAA East Preliminary Round,2018-05-24,Round 1,5,,Outdoor,https://www.nolefan.org/summary/wtf2018.html,audited_2026-09-21; FSU official bio/year review + meet/championship cross-check
Cortney Jones,Florida State,ACC,100H,2018,SO,,,13.17,s,NCAA East Preliminary Round,2018-05-25,Quarterfinal,1,,Outdoor,https://seminoles.com/sports/womens-track-and-field/roster/cortney-jones/3343,audited_2026-09-21; FSU official bio/year review + meet/championship cross-check
Cortney Jones,Florida State,ACC,100H,2018,SO,,,12.86,s,NCAA Division I Outdoor Championship,2018-06-07,Semifinal,3,1.4,Outdoor,https://seminoles.com/sports/womens-track-and-field/roster/cortney-jones/3343,audited_2026-09-21; FSU official bio/year review + meet/championship cross-check
Cortney Jones,Florida State,ACC,100H,2018,SO,,,13.04,s,NCAA Division I Outdoor Championship,2018-06-09,Final,3,0.9,Outdoor,https://seminoles.com/sports/womens-track-and-field/roster/cortney-jones/3343,audited_2026-09-21; FSU official bio/year review + meet/championship cross-check
