athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Catelyn Schmiedebusch,Georgia,SEC,400H,2016,JR,,,66.86,seconds,Georgia Relays,2016-03-18,Final,5,,Outdoor,https://georgiadogs.com/sports/track-and-field/roster/catelyn-schmiedebusch/574,Verified 2016 outdoor result; historical coverage check pending
Ashley Henry,Georgia,SEC,400m,2016,SR,,,55.03,seconds,Georgia Relays,2016-03-18,Final,1,,Outdoor,https://www.tfrrs.org/athletes/5094250/Georgia/Ashley_Henry.html,Verified 2016 outdoor result; historical coverage check pending
Devon Artis,Georgia,SEC,400m,2016,SO,,,55.75,seconds,Georgia Relays,2016-03-18,Final,2,,Outdoor,https://www.tfrrs.org/athletes/5094237/Georgia/Devon_Artis.html,Verified 2016 outdoor result; historical coverage check pending
Natalie Bordes,Georgia,SEC,400m,2016,JR,,,58.69,seconds,Georgia Relays,2016-03-18,Final,3,,Outdoor,https://georgiadogs.com/documents/download/2017/6/25/36225__c_track_2015_16_release__release_20160512aaa.pdf,Verified 2016 outdoor result; historical coverage check pending
Sarah Gardner,Georgia,SEC,400m,2016,JR,,,62.3,seconds,Georgia Relays,2016-03-18,Final,6,,Outdoor,https://www.tfrrs.org/athletes/4511898/Georgia/Sarah_Gardner.html,Verified 2016 outdoor result; historical coverage check pending
Catelyn Schmiedebusch,Georgia,SEC,400H,2016,JR,,,66.23,seconds,Georgia Tech Yellow Jacket Invitational,2016-03-25,Final,19,,Outdoor,https://georgiadogs.com/sports/track-and-field/roster/catelyn-schmiedebusch/574,Verified 2016 outdoor result; historical coverage check pending
Ashley Henry,Georgia,SEC,400m,2016,SR,,,54.0,seconds,Georgia Tech Yellow Jacket Invitational,2016-03-25,Final,3,,Outdoor,https://www.tfrrs.org/athletes/5094250/Georgia/Ashley_Henry.html,Verified 2016 outdoor result; historical coverage check pending
Ruthie Powell,Georgia,SEC,400m,2016,,,,60.72,seconds,Georgia Tech Yellow Jacket Invitational,2016-03-25,Final,27,,Outdoor,https://georgiadogs.com/documents/download/2017/6/25/36225__c_track_2015_16_release__release_20160512aaa.pdf,Verified result; class year still needs historical roster verification
Sarah Gardner,Georgia,SEC,400m,2016,JR,,,60.31,seconds,Georgia Tech Yellow Jacket Invitational,2016-03-25,Final,23,,Outdoor,https://www.tfrrs.org/athletes/4511898/Georgia/Sarah_Gardner.html,Verified 2016 outdoor result; historical coverage check pending
Ashley Henry,Georgia,SEC,400m,2016,SR,,,53.34,seconds,Florida Relays,2016-03-31,Final,11,,Outdoor,https://www.tfrrs.org/athletes/5094250/Georgia/Ashley_Henry.html,Verified 2016 outdoor result; historical coverage check pending
Kendell Williams,Georgia,SEC,100H,2016,JR,,,13.39,seconds,Bulldog Decathlon-Heptathlon,2016-04-06,Heptathlon,1,3.2,Outdoor,https://tf.tfrrs.org/athletes/4660173/Georgia/Kendell_Williams,Verified 2016 outdoor result; historical coverage check pending
Mary Terry,Georgia,SEC,100H,2016,FR,,,15.34,seconds,Bulldog Decathlon-Heptathlon,2016-04-06,Heptathlon,9,3.8,Outdoor,https://www.tfrrs.org/athletes/5649434/Georgia/Mary_Terry,Verified 2016 outdoor result; historical coverage check pending
Kendell Williams,Georgia,SEC,Long Jump,2016,JR,,,6.11,meters,Bulldog Decathlon-Heptathlon,2016-04-06,Heptathlon,4,3.4,Outdoor,https://tf.tfrrs.org/athletes/4660173/Georgia/Kendell_Williams,Verified 2016 outdoor result; historical coverage check pending
Mary Terry,Georgia,SEC,Long Jump,2016,FR,,,5.31,meters,Bulldog Decathlon-Heptathlon,2016-04-06,Heptathlon,8,1.5,Outdoor,https://www.tfrrs.org/athletes/5649434/Georgia/Mary_Terry,Verified 2016 outdoor result; historical coverage check pending
Catelyn Schmiedebusch,Georgia,SEC,400H,2016,JR,,,67.2,seconds,Spec Towns Invitational 2016,2016-04-08,Final,12,,Outdoor,https://georgiadogs.com/sports/track-and-field/roster/catelyn-schmiedebusch/574,Verified 2016 outdoor result; historical coverage check pending
Ashley Henry,Georgia,SEC,400m,2016,SR,,,54.58,seconds,Spec Towns Invitational 2016,2016-04-08,Final,7,,Outdoor,https://www.tfrrs.org/athletes/5094250/Georgia/Ashley_Henry.html,Verified 2016 outdoor result; historical coverage check pending
Sarah Gardner,Georgia,SEC,400m,2016,JR,,,61.56,seconds,Spec Towns Invitational 2016,2016-04-08,Final,19,,Outdoor,https://www.tfrrs.org/athletes/4511898/Georgia/Sarah_Gardner.html,Verified 2016 outdoor result; historical coverage check pending
Kendell Williams,Georgia,SEC,100H,2016,JR,,,12.97,seconds,Virginia Challenge,2016-04-22,Final,2,1.1,Outdoor,https://tf.tfrrs.org/athletes/4660173/Georgia/Kendell_Williams,Verified 2016 outdoor result; historical coverage check pending
Ashley Henry,Georgia,SEC,400m,2016,SR,,,54.09,seconds,Virginia Challenge,2016-04-22,Final,4,,Outdoor,https://www.tfrrs.org/athletes/5094250/Georgia/Ashley_Henry.html,Verified 2016 outdoor result; historical coverage check pending
