athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
India Lowe,Duke,ACC,400H,2018,JR,,,62.21,s,Raleigh Relays,2018-03-30,Final,,,Outdoor,https://www.tfrrs.org/athletes/5626119/Duke/India_Lowe.html,verified_Duke/TFRRS athlete history
India Lowe,Duke,ACC,400H,2018,JR,,,60.85,s,Battle of the Blues,2018-04-06,Final,,,Outdoor,https://www.tfrrs.org/athletes/5626119/Duke/India_Lowe.html,verified_Duke/TFRRS athlete history
MacKenzie Kerr,Duke,ACC,400m,2018,JR,,,55.17,s,Battle of the Blues,2018-04-06,Final,,,Outdoor,https://www.tfrrs.org/athletes/5641923/Duke/MacKenzie_Kerr.html,verified athlete history
Madeline Price,Duke,ACC,400m,2018,SR,,,53.21,s,Battle of the Blues,2018-04-06,Final,,,Outdoor,https://www.tfrrs.org/athletes/5144363/Duke/Price_Madeline,verified_Duke/TFRRS athlete history
India Lowe,Duke,ACC,400H,2018,JR,,,60.60,s,Duke Invitational,2018-04-20,Final,,,Outdoor,https://www.tfrrs.org/athletes/5626119/Duke/India_Lowe.html,verified_Duke/TFRRS athlete history
MacKenzie Kerr,Duke,ACC,400m,2018,JR,,,54.73,s,Duke Invitational,2018-04-20,Final,,,Outdoor,https://www.tfrrs.org/athletes/5641923/Duke/MacKenzie_Kerr.html,verified athlete history
Madeline Price,Duke,ACC,400m,2018,SR,,,53.69,s,Duke Invitational,2018-04-20,Final,,,Outdoor,https://www.tfrrs.org/athletes/5144363/Duke/Price_Madeline,verified_Duke/TFRRS athlete history
Teddi Maslowski,Duke,ACC,100H,2018,RS-SR,,,14.18,s,ACC Outdoor Championships,2018-05-10,Prelim,,,Outdoor,https://www.tfrrs.org/results/57034/f/ACC_Outdoor_Championships,verified_ACC result
India Lowe,Duke,ACC,400H,2018,JR,,,60.48,s,ACC Outdoor Championships,2018-05-10,Final,8,,Outdoor,https://www.tfrrs.org/athletes/5626119/Duke/India_Lowe.html,verified_Duke/TFRRS athlete history
MacKenzie Kerr,Duke,ACC,400m,2018,JR,,,54.76,s,ACC Outdoor Championships,2018-05-10,Prelim,,,Outdoor,https://www.tfrrs.org/athletes/5641923/Duke/MacKenzie_Kerr.html,verified athlete history
Madeline Price,Duke,ACC,400m,2018,SR,,,52.30,s,ACC Outdoor Championships,2018-05-10,Final,2,,Outdoor,https://www.tfrrs.org/athletes/5144363/Duke/Price_Madeline,verified_Duke/TFRRS athlete history
Madeline Price,Duke,ACC,400m,2018,SR,,,52.91,s,ACC Outdoor Championships,2018-05-10,Prelim,2,,Outdoor,https://www.tfrrs.org/athletes/5144363/Duke/Price_Madeline,verified_Duke/TFRRS athlete history
Madeline Price,Duke,ACC,400m,2018,SR,,,52.79,s,NCAA Division I East Preliminary Round,2018-05-24,Round 1,18,,Outdoor,https://www.tfrrs.org/athletes/5144363/Duke/Price_Madeline,verified_Duke/TFRRS athlete history
Madeline Price,Duke,ACC,400m,2018,SR,,,52.63,s,NCAA Division I East Preliminary Round,2018-05-25,Quarterfinal,18,,Outdoor,https://www.tfrrs.org/athletes/5144363/Duke/Price_Madeline,verified_Duke/TFRRS athlete history
