athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Carroll, Tori",Florida State,ACC,Long Jump,2024,SR-4,,,5.95,m,Hurricane Invitational,2024-03-15,,,1.8,Outdoor,https://www.tfrrs.org/results/84682/5114846/Hurricane_Invitational/Long-Jump,TFRRS all_performances
"Jackson, Adina",Florida State,ACC,Long Jump,2024,FR-1,,,5.71,m,Hurricane Invitational,2024-03-15,,,0.5,Outdoor,https://www.tfrrs.org/results/84682/5114846/Hurricane_Invitational/Long-Jump,TFRRS all_performances
"Reynolds, Skyler",Florida State,ACC,Long Jump,2024,JR-3,,,5.86,m,Hurricane Invitational,2024-03-15,,,+0.0,Outdoor,https://www.tfrrs.org/results/84682/5114846/Hurricane_Invitational/Long-Jump,TFRRS all_performances
"Webster, Alexandra",Florida State,ACC,100H,2024,SR-4,,,13.56,s,FSU Relays,2024-03-21,,,-0.6,Outdoor,https://www.tfrrs.org/results/84936/5126530/FSU_Relays/100-Hurdles,TFRRS all_performances
"Klein, Ava",Florida State,ACC,400H,2024,SR-4,,,59.16,s,FSU Relays,2024-03-21,,,,Outdoor,https://www.tfrrs.org/results/84936/5126526/FSU_Relays/400-Hurdles,TFRRS all_performances
"Wilson, Tyra",Florida State,ACC,400H,2024,JR-3,,,57.53,s,FSU Relays,2024-03-21,,,,Outdoor,https://www.tfrrs.org/results/84936/5126526/FSU_Relays/400-Hurdles,TFRRS all_performances
"Carroll, Tori",Florida State,ACC,Long Jump,2024,SR-4,,,5.97,m,FSU Relays,2024-03-21,,,0.3,Outdoor,https://www.tfrrs.org/results/84936/5126537/FSU_Relays/Long-Jump,TFRRS all_performances
"Jackson, Adina",Florida State,ACC,Long Jump,2024,FR-1,,,5.49,m,FSU Relays,2024-03-21,,,0.7,Outdoor,https://www.tfrrs.org/results/84936/5126537/FSU_Relays/Long-Jump,TFRRS all_performances
"Reynolds, Skyler",Florida State,ACC,Long Jump,2024,JR-3,,,5.83,m,FSU Relays,2024-03-21,,,0.3,Outdoor,https://www.tfrrs.org/results/84936/5126537/FSU_Relays/Long-Jump,TFRRS all_performances
"Carroll, Tori",Florida State,ACC,Long Jump,2024,SR-4,,,5.85,m,Pepsi Florida Relays,2024-03-29,,,+0.0,Outdoor,https://www.tfrrs.org/results/83593/5148539/Pepsi_Florida_Relays/Long-Jump,TFRRS all_performances
"Webster, Alexandra",Florida State,ACC,100H,2024,SR-4,,,13.36,s,Crimson Tide Invitational,2024-04-05,,,0.3,Outdoor,https://www.tfrrs.org/results/85658/5171104/Crimson_Tide_Invitational/100-Hurdles,TFRRS all_performances
"Klein, Ava",Florida State,ACC,400H,2024,SR-4,,,59.98,s,Crimson Tide Invitational,2024-04-05,,,,Outdoor,https://www.tfrrs.org/results/85658/5171105/Crimson_Tide_Invitational/400-Hurdles,TFRRS all_performances
"Wilson, Tyra",Florida State,ACC,400H,2024,JR-3,,,57.03,s,Crimson Tide Invitational,2024-04-05,,,,Outdoor,https://www.tfrrs.org/results/85658/5171105/Crimson_Tide_Invitational/400-Hurdles,TFRRS all_performances
"Jackson, Adina",Florida State,ACC,Long Jump,2024,FR-1,,,5.67,m,Crimson Tide Invitational,2024-04-05,,,1.2,Outdoor,https://www.tfrrs.org/results/85658/5171076/Crimson_Tide_Invitational/Long-Jump,TFRRS all_performances
"Reynolds, Skyler",Florida State,ACC,Long Jump,2024,JR-3,,,5.85,m,Crimson Tide Invitational,2024-04-05,,,0.2,Outdoor,https://www.tfrrs.org/results/85658/5171076/Crimson_Tide_Invitational/Long-Jump,TFRRS all_performances
"Webster, Alexandra",Florida State,ACC,100H,2024,SR-4,,,12.77,s,Tom Jones Memorial Invitational,2024-04-12,,,1.1,Outdoor,https://www.tfrrs.org/results/85961/5199024/Tom_Jones_Memorial_Invitational/100-Hurdles,TFRRS all_performances
"Klein, Ava",Florida State,ACC,400H,2024,SR-4,,,59.47,s,Tom Jones Memorial Invitational,2024-04-12,,,,Outdoor,https://www.tfrrs.org/results/85961/5199023/Tom_Jones_Memorial_Invitational/400-Hurdles,TFRRS all_performances
"Wilson, Tyra",Florida State,ACC,400H,2024,JR-3,,,56.74,s,Tom Jones Memorial Invitational,2024-04-12,,,,Outdoor,https://www.tfrrs.org/results/85961/5199023/Tom_Jones_Memorial_Invitational/400-Hurdles,TFRRS all_performances
"Liburd, Kaelyaah",Florida State,ACC,400m,2024,FR-1,,,56.57,s,Tom Jones Memorial Invitational,2024-04-12,,,,Outdoor,https://www.tfrrs.org/results/85961/5199003/Tom_Jones_Memorial_Invitational/400-Meters,TFRRS all_performances
"Carroll, Tori",Florida State,ACC,Long Jump,2024,SR-4,,,6.14,m,Tom Jones Memorial Invitational,2024-04-12,,,0.7,Outdoor,https://www.tfrrs.org/results/85961/5198998/Tom_Jones_Memorial_Invitational/Long-Jump,TFRRS all_performances
"Reynolds, Skyler",Florida State,ACC,Long Jump,2024,JR-3,,,5.84,m,Tom Jones Memorial Invitational,2024-04-12,,,0.6,Outdoor,https://www.tfrrs.org/results/85961/5198998/Tom_Jones_Memorial_Invitational/Long-Jump,TFRRS all_performances
"Jackson, Adina",Florida State,ACC,Long Jump,2024,FR-1,,,5.38,m,2024 Tiger Track Classic,2024-04-20,,,1.8,Outdoor,https://www.tfrrs.org/results/85707/5220157/2024_Tiger_Track_Classic/Long-Jump,TFRRS all_performances
"Klein, Ava",Florida State,ACC,400H,2024,SR-4,,,59.47,s,LSU Invitational,2024-04-27,,,,Outdoor,https://www.tfrrs.org/results/84133/5240918/LSU_Invitational/400-Hurdles,TFRRS all_performances
"Liburd, Kaelyaah",Florida State,ACC,400m,2024,FR-1,,,55.44,s,LSU Invitational,2024-04-27,,,,Outdoor,https://www.tfrrs.org/results/84133/5240916/LSU_Invitational/400-Meters,TFRRS all_performances
"Wilson, Tyra",Florida State,ACC,400m,2024,JR-3,,,54.52,s,LSU Invitational,2024-04-27,,,,Outdoor,https://www.tfrrs.org/results/84133/5240916/LSU_Invitational/400-Meters,TFRRS all_performances
"Carroll, Tori",Florida State,ACC,Long Jump,2024,SR-4,,,6.08,m,LSU Invitational,2024-04-27,,,1.8,Outdoor,https://www.tfrrs.org/results/84133/5240896/LSU_Invitational/Long-Jump,TFRRS all_performances
"Wilson, Tyra",Florida State,ACC,400H,2024,JR-3,,,57.57,s,NCAA Division I Outdoor Track & Field Championships,2024-05-05,,,,Outdoor,https://www.tfrrs.org/results/87017/5286186/NCAA_Division_I_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Webster, Alexandra",Florida State,ACC,100H,2024,SR-4,,,13.04,s,ACC Outdoor Track & Field Championships,2024-05-09,,,-0.7,Outdoor,https://www.tfrrs.org/results/86920/5278893/ACC_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Webster, Alexandra",Florida State,ACC,100H,2024,SR-4,,,13.16,s,ACC Outdoor Track & Field Championships,2024-05-09,,,0.4,Outdoor,https://www.tfrrs.org/results/86920/5278893/ACC_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Klein, Ava",Florida State,ACC,400H,2024,SR-4,,,58.93,s,ACC Outdoor Track & Field Championships,2024-05-09,,,,Outdoor,https://www.tfrrs.org/results/86920/5278883/ACC_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Wilson, Tyra",Florida State,ACC,400H,2024,JR-3,,,56.30,s,ACC Outdoor Track & Field Championships,2024-05-09,,,,Outdoor,https://www.tfrrs.org/results/86920/5278883/ACC_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Wilson, Tyra",Florida State,ACC,400H,2024,JR-3,,,58.04,s,ACC Outdoor Track & Field Championships,2024-05-09,,,,Outdoor,https://www.tfrrs.org/results/86920/5278883/ACC_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Liburd, Kaelyaah",Florida State,ACC,400m,2024,FR-1,,,54.36,s,ACC Outdoor Track & Field Championships,2024-05-09,,,,Outdoor,https://www.tfrrs.org/results/86920/5278870/ACC_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"Carroll, Tori",Florida State,ACC,Long Jump,2024,SR-4,,,5.89,m,ACC Outdoor Track & Field Championships,2024-05-09,,,-0.8,Outdoor,https://www.tfrrs.org/results/86920/5278894/ACC_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
"Reynolds, Skyler",Florida State,ACC,Long Jump,2024,JR-3,,,5.72,m,ACC Outdoor Track & Field Championships,2024-05-09,,,1.1,Outdoor,https://www.tfrrs.org/results/86920/5278894/ACC_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
"Webster, Alexandra",Florida State,ACC,100H,2024,SR-4,,,12.70,s,NCAA East First Round,2024-05-22,,,1.4,Outdoor,https://www.tfrrs.org/results/86997/5284582/NCAA_East_First_Round/100-Hurdles,TFRRS all_performances
"Webster, Alexandra",Florida State,ACC,100H,2024,SR-4,,,12.91,s,NCAA East First Round,2024-05-22,,,0.1,Outdoor,https://www.tfrrs.org/results/86997/5284582/NCAA_East_First_Round/100-Hurdles,TFRRS all_performances
"Klein, Ava",Florida State,ACC,400H,2024,SR-4,,,59.30,s,NCAA East First Round,2024-05-22,,,,Outdoor,https://www.tfrrs.org/results/86997/5284588/NCAA_East_First_Round/400-Hurdles,TFRRS all_performances
"Wilson, Tyra",Florida State,ACC,400H,2024,JR-3,,,55.68,s,NCAA East First Round,2024-05-22,,,,Outdoor,https://www.tfrrs.org/results/86997/5284588/NCAA_East_First_Round/400-Hurdles,TFRRS all_performances
