athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Sharrika Barnett,Florida,SEC,400m,2018,JR,,,50.93,seconds,Florida Relays,2018-03-29,Final,2,,Outdoor,https://www.tfrrs.org/athletes/5651818/Florida/Sharrika_Barnett,Verified 2018 outdoor result; audited against available season/athlete sources
Sharrika Barnett,Florida,SEC,400m,2018,JR,,,51.50,seconds,National Relay Championships,2018-04-27,Final,1,,Outdoor,https://www.tfrrs.org/athletes/5651818/Florida/Sharrika_Barnett,Verified 2018 outdoor result; audited against available season/athlete sources
Sharrika Barnett,Florida,SEC,400m,2018,JR,,,51.94,seconds,SEC Outdoor Track and Field Championships,2018-05-11,Prelim,1,,Outdoor,https://www.tfrrs.org/athletes/5651818/Florida/Sharrika_Barnett,Verified 2018 outdoor result; audited against available season/athlete sources
Sharrika Barnett,Florida,SEC,400m,2018,JR,,,50.69,seconds,SEC Outdoor Track and Field Championships,2018-05-13,Final,1,,Outdoor,https://www.tfrrs.org/athletes/5651818/Florida/Sharrika_Barnett,Verified 2018 outdoor result; audited against available season/athlete sources
Sharrika Barnett,Florida,SEC,400m,2018,JR,,,51.66,seconds,NCAA East Preliminary Round,2018-05-24,First Round,2,,Outdoor,https://www.tfrrs.org/athletes/5651818/Florida/Sharrika_Barnett,Verified 2018 outdoor result; audited against available season/athlete sources
Sharrika Barnett,Florida,SEC,400m,2018,JR,,,51.46,seconds,NCAA East Preliminary Round,2018-05-25,Quarterfinal,4,,Outdoor,https://www.tfrrs.org/athletes/5651818/Florida/Sharrika_Barnett,Verified 2018 outdoor result; audited against available season/athlete sources
Sharrika Barnett,Florida,SEC,400m,2018,JR,,,51.68,seconds,NCAA Division I Outdoor Championships,2018-06-07,Semifinal,5,,Outdoor,https://www.tfrrs.org/athletes/5651818/Florida/Sharrika_Barnett,Verified 2018 outdoor result; audited against available season/athlete sources
Sharrika Barnett,Florida,SEC,400m,2018,JR,,,51.16,seconds,NCAA Division I Outdoor Championships,2018-06-09,Final,4,,Outdoor,https://www.tfrrs.org/athletes/5651818/Florida/Sharrika_Barnett,Verified 2018 outdoor result; audited against available season/athlete sources
Taylor Sharpe,Florida,SEC,400m,2018,SR,,,54.46,seconds,FSU Relays (College),2018-03-23,Final,,,Outdoor,https://www.tfrrs.org/athletes/5651838/Florida/Taylor_Sharpe,Verified 2018 outdoor result; audited against available season/athlete sources
Taylor Sharpe,Florida,SEC,400m,2018,SR,,,53.68,seconds,Florida Relays,2018-03-29,Final,13,,Outdoor,https://www.tfrrs.org/athletes/5651838/Florida/Taylor_Sharpe,Verified 2018 outdoor result; audited against available season/athlete sources
Taylor Sharpe,Florida,SEC,400m,2018,SR,,,53.66,seconds,UF Tom Jones Memorial,2018-04-13,Final,7,,Outdoor,https://www.tfrrs.org/athletes/5651838/Florida/Taylor_Sharpe,Verified 2018 outdoor result; audited against available season/athlete sources
