athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Takyera Roberson,Alabama,SEC,400m,2018,SO,,,53.98,seconds,Crimson Tide Invitational,2018-04-06,Final,2,,Outdoor,https://www.tfrrs.org/athletes/6097002/Alabama/Takyera_Roberson.html,Verified 2018 outdoor result; audited against available season/athlete sources
Takyera Roberson,Alabama,SEC,400m,2018,SO,,,54.14,seconds,War Eagle Invitational 2018,2018-04-20,Final,4,,Outdoor,https://www.tfrrs.org/athletes/6097002/Alabama/Takyera_Roberson.html,Verified 2018 outdoor result; audited against available season/athlete sources
Takyera Roberson,Alabama,SEC,400m,2018,SO,,,54.72,seconds,LSU Invitational,2018-04-28,Final,10,,Outdoor,https://www.tfrrs.org/athletes/6097002/Alabama/Takyera_Roberson.html,Verified 2018 outdoor result; audited against available season/athlete sources
Symone Darius,Alabama,SEC,400m,2018,SO,,,55.20,seconds,Crimson Tide Invitational,2018-04-06,Final,8,,Outdoor,https://www.tfrrs.org/athletes/6096998,Verified 2018 outdoor result; audited against available season/athlete sources
Hope Mazi,Alabama,SEC,400m,2018,SO,,,56.17,seconds,UTSA Invitational,2018-03-16,Final,12,,Outdoor,https://rolltide.com/sports/xctrack/roster/hope-mazi/4188,Verified 2018 outdoor result; audited against available season/athlete sources
Hope Mazi,Alabama,SEC,400m,2018,SO,,,54.90,seconds,Crimson Tide Invitational,2018-04-06,Final,6,,Outdoor,https://rolltide.com/sports/xctrack/roster/hope-mazi/4188,Verified 2018 outdoor result; audited against available season/athlete sources
Hope Mazi,Alabama,SEC,400m,2018,SO,,,55.33,seconds,UF Tom Jones Memorial,2018-04-13,Final,6,,Outdoor,https://rolltide.com/sports/xctrack/roster/hope-mazi/4188,Verified 2018 outdoor result; audited against available season/athlete sources
Hope Mazi,Alabama,SEC,400m,2018,SO,,,54.93,seconds,LSU Invitational,2018-04-28,Final,8,,Outdoor,https://rolltide.com/sports/xctrack/roster/hope-mazi/4188,Verified 2018 outdoor result; audited against available season/athlete sources
Hope Mazi,Alabama,SEC,400m,2018,SO,,,55.14,seconds,SEC Outdoor Track and Field Championships,2018-05-12,Prelim,20,,Outdoor,https://rolltide.com/sports/xctrack/roster/hope-mazi/4188,Verified 2018 outdoor result; audited against available season/athlete sources
Katie Funcheon,Alabama,SEC,400m,2018,SO,,,55.35,seconds,UTSA Invitational,2018-03-16,Final,4,,Outdoor,https://rolltide.com/sports/xctrack/roster/katie-funcheon/2452,Verified 2018 outdoor result; audited against available season/athlete sources
Katie Funcheon,Alabama,SEC,400m,2018,SO,,,54.66,seconds,Crimson Tide Invitational,2018-04-06,Final,5,,Outdoor,https://rolltide.com/sports/xctrack/roster/katie-funcheon/2452,Verified 2018 outdoor result; audited against available season/athlete sources
Katie Funcheon,Alabama,SEC,400m,2018,SO,,,54.52,seconds,UF Tom Jones Memorial,2018-04-13,Final,10,,Outdoor,https://rolltide.com/sports/xctrack/roster/katie-funcheon/2452,Verified 2018 outdoor result; audited against available season/athlete sources
Katie Funcheon,Alabama,SEC,400m,2018,SO,,,54.36,seconds,War Eagle Invitational 2018,2018-04-20,Final,6,,Outdoor,https://rolltide.com/sports/xctrack/roster/katie-funcheon/2452,Verified 2018 outdoor result; audited against available season/athlete sources
