athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Vanessa Clerveaux,Alabama,SEC,100H,2016,JR,,,13.46,seconds,Alabama Relays,2016-03-19,Final,1,-1.0,Outdoor,https://www.tfrrs.org/athletes/4638072/Alabama/Vanessa_Clerveaux.html,Verified 2016 outdoor result; historical coverage check pending
Kaitlin Walker,Alabama,SEC,400H,2016,SO,,,61.2,seconds,Alabama Relays,2016-03-19,Final,4,,Outdoor,https://www.tfrrs.org/athletes/5109993/Alabama/Kaitlin_Walker,Verified 2016 outdoor result; historical coverage check pending
Lacey Dent,Alabama,SEC,Long Jump,2016,SR,,,5.96,meters,Alabama Relays,2016-03-19,Final,4,2.4,Outdoor,https://www.tfrrs.org/athletes/4167050/Alabama/Lacey_Dent.html,Verified 2016 outdoor result; historical coverage check pending
Vanessa Clerveaux,Alabama,SEC,100H,2016,JR,,,13.49,seconds,Florida State Relays,2016-03-25,Final,2,-0.3,Outdoor,https://www.tfrrs.org/athletes/4638072/Alabama/Vanessa_Clerveaux.html,Verified 2016 outdoor result; historical coverage check pending
Kaitlin Walker,Alabama,SEC,400H,2016,SO,,,61.77,seconds,Florida State Relays,2016-03-25,Final,2,,Outdoor,https://www.tfrrs.org/athletes/5109993/Alabama/Kaitlin_Walker,Verified 2016 outdoor result; historical coverage check pending
Alex Gholston,Alabama,SEC,400m,2016,JR,,,55.21,seconds,Florida State Relays,2016-03-25,Final,3,,Outdoor,https://www.tfrrs.org/athletes/4638073/Alabama/Alex_Gholston,Verified 2016 outdoor result; historical coverage check pending
Katie Funcheon,Alabama,SEC,400m,2016,FR,,,55.31,seconds,Florida State Relays,2016-03-25,Final,4,,Outdoor,https://www.tfrrs.org/athletes/5610036/Alabama/Katie_Funcheon.html,Verified 2016 outdoor result; historical coverage check pending
Lacey Dent,Alabama,SEC,Long Jump,2016,SR,,,5.78,meters,Florida State Relays,2016-03-25,Final,3,-0.4,Outdoor,https://www.tfrrs.org/athletes/4167050/Alabama/Lacey_Dent.html,Verified 2016 outdoor result; historical coverage check pending
Vanessa Clerveaux,Alabama,SEC,100H,2016,JR,,,13.4,seconds,Florida Relays,2016-04-02,Final,14,2.5,Outdoor,https://www.tfrrs.org/athletes/4638072/Alabama/Vanessa_Clerveaux.html,Verified 2016 outdoor result; historical coverage check pending
Kaitlin Walker,Alabama,SEC,400H,2016,SO,,,62.48,seconds,Florida Relays,2016-04-02,Final,34,,Outdoor,https://www.tfrrs.org/athletes/5109993/Alabama/Kaitlin_Walker,Verified 2016 outdoor result; historical coverage check pending
Alex Gholston,Alabama,SEC,400m,2016,JR,,,53.59,seconds,Florida Relays,2016-04-02,Final,13,,Outdoor,https://www.tfrrs.org/athletes/4638073/Alabama/Alex_Gholston,Verified 2016 outdoor result; historical coverage check pending
