athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Andrenette Knight,Virginia,ACC,100H,2021,,,,13.94,s,UVA Opener,2021-03-20,Final,,1.8,Outdoor,https://tf.tfrrs.org/athletes/6594839/Virginia/Andrenette_Knight.html,verified 2021 outdoor result; school audit working file
Abby Comella,Virginia,ACC,400m,2021,FR,,,57.86,s,UVA Opener,2021-03-20,Final,,,Outdoor,https://www.tfrrs.org/athletes/7729143/Virginia/Abby_Comella,verified 2021 outdoor result; school audit working file
Khyasia Caldwell,Virginia,ACC,Long Jump,2021,SO,,,6.34,m,UVA Opener,2021-03-20,Final,1,2.4,Outdoor,https://tfrrs.org/athletes/6594835/Virginia/Khyasia_Caldwell.html,verified 2021 outdoor result; school audit working file
Andrenette Knight,Virginia,ACC,100H,2021,,,,13.56,s,Raleigh Relays,2021-03-25,Final,,1.1,Outdoor,https://tf.tfrrs.org/athletes/6594839/Virginia/Andrenette_Knight.html,verified 2021 outdoor result; school audit working file
Andrenette Knight,Virginia,ACC,100H,2021,,,,13.64,s,Raleigh Relays,2021-03-25,Prelim,,2.7,Outdoor,https://tf.tfrrs.org/athletes/6594839/Virginia/Andrenette_Knight.html,verified 2021 outdoor result; school audit working file
Nadia Saunders,Virginia,ACC,100H,2021,FR,,,14.79,s,Raleigh Relays,2021-03-25,Final,,1.6,Outdoor,https://www.tfrrs.org/athletes/7729150/Virginia/Nadia_Saunders,verified 2021 outdoor result; school audit working file
Khyasia Caldwell,Virginia,ACC,Long Jump,2021,SO,,,6.08,m,Raleigh Relays,2021-03-25,Final,1,-0.9,Outdoor,https://tfrrs.org/athletes/6594835/Virginia/Khyasia_Caldwell.html,verified 2021 outdoor result; school audit working file
Zoe Rice,Virginia,ACC,Long Jump,2021,,,,5.55,m,Raleigh Relays,2021-03-25,Final,,-0.9,Outdoor,https://www.tfrrs.org/athletes/6988131/Virginia/Zoe_Rice.html,verified 2021 outdoor result; school audit working file
Andrenette Knight,Virginia,ACC,100H,2021,,,,13.55,s,Virginia Invitational,2021-04-02,Final,,-1.5,Outdoor,https://tf.tfrrs.org/athletes/6594839/Virginia/Andrenette_Knight.html,verified 2021 outdoor result; school audit working file
Nadia Saunders,Virginia,ACC,100H,2021,FR,,,15.15,s,Virginia Invitational,2021-04-02,Final,,,Outdoor,https://www.tfrrs.org/athletes/7729150/Virginia/Nadia_Saunders,verified 2021 outdoor result; school audit working file
Zoe Rice,Virginia,ACC,100H,2021,,,,14.59,s,Virginia Invitational,2021-04-02,Final,,-0.3,Outdoor,https://www.tfrrs.org/athletes/6988131/Virginia/Zoe_Rice.html,verified 2021 outdoor result; school audit working file
Abby Comella,Virginia,ACC,400m,2021,FR,,,56.44,s,Virginia Invitational,2021-04-02,Final,,,Outdoor,https://www.tfrrs.org/athletes/7729143/Virginia/Abby_Comella,verified 2021 outdoor result; school audit working file
Khyasia Caldwell,Virginia,ACC,Long Jump,2021,SO,,,6.06,m,Virginia Invitational,2021-04-02,Final,5,0.7,Outdoor,https://tfrrs.org/athletes/6594835/Virginia/Khyasia_Caldwell.html,verified 2021 outdoor result; school audit working file
Nadia Saunders,Virginia,ACC,Long Jump,2021,FR,,,5.35,m,Virginia Invitational,2021-04-02,Final,,0.7,Outdoor,https://www.tfrrs.org/athletes/7729150/Virginia/Nadia_Saunders,verified 2021 outdoor result; school audit working file
Zoe Rice,Virginia,ACC,Long Jump,2021,,,,5.84,m,Virginia Invitational,2021-04-02,Final,,1.1,Outdoor,https://www.tfrrs.org/athletes/6988131/Virginia/Zoe_Rice.html,verified 2021 outdoor result; school audit working file
Abby Comella,Virginia,ACC,400m,2021,FR,,,56.47,s,Virginia Challenge,2021-04-16,Final,,,Outdoor,https://www.tfrrs.org/athletes/7729143/Virginia/Abby_Comella,verified 2021 outdoor result; school audit working file
Khyasia Caldwell,Virginia,ACC,Long Jump,2021,SO,,,6.23,m,Virginia Challenge,2021-04-16,Final,3,0.1,Outdoor,https://tfrrs.org/athletes/6594835/Virginia/Khyasia_Caldwell.html,verified 2021 outdoor result; school audit working file
Andrenette Knight,Virginia,ACC,100H,2021,,,,13.37,s,Virginia Grand Prix,2021-05-01,Final,,1.3,Outdoor,https://tf.tfrrs.org/athletes/6594839/Virginia/Andrenette_Knight.html,verified 2021 outdoor result; school audit working file
Abby Comella,Virginia,ACC,400m,2021,FR,,,59.37,s,Virginia Grand Prix,2021-05-01,Final,,,Outdoor,https://www.tfrrs.org/athletes/7729143/Virginia/Abby_Comella,verified 2021 outdoor result; school audit working file
Khyasia Caldwell,Virginia,ACC,Long Jump,2021,SO,,,6.23,m,Virginia Grand Prix,2021-05-01,Final,1,0.6,Outdoor,https://tfrrs.org/athletes/6594835/Virginia/Khyasia_Caldwell.html,verified 2021 outdoor result; school audit working file
Zoe Rice,Virginia,ACC,Long Jump,2021,,,,5.97,m,Virginia Grand Prix,2021-05-01,Final,3,-0.6,Outdoor,https://www.tfrrs.org/athletes/6988131/Virginia/Zoe_Rice.html,verified 2021 outdoor result; school audit working file
Andrenette Knight,Virginia,ACC,100H,2021,,,,13.33,s,ACC Outdoor Track & Field Championships,2021-05-13,Prelim,,0.4,Outdoor,https://tf.tfrrs.org/athletes/6594839/Virginia/Andrenette_Knight.html,verified 2021 outdoor result; school audit working file
Khyasia Caldwell,Virginia,ACC,Long Jump,2021,SO,,,6.14,m,ACC Outdoor Track & Field Championships,2021-05-13,Final,7,-1.1,Outdoor,https://tfrrs.org/athletes/6594835/Virginia/Khyasia_Caldwell.html,verified 2021 outdoor result; school audit working file
Zoe Rice,Virginia,ACC,Long Jump,2021,,,,5.80,m,ACC Outdoor Track & Field Championships,2021-05-13,Final,,0.3,Outdoor,https://www.tfrrs.org/athletes/6988131/Virginia/Zoe_Rice.html,verified 2021 outdoor result; school audit working file
Andrenette Knight,Virginia,ACC,100H,2021,,,,13.38,s,ACC Outdoor Track & Field Championships,2021-05-15,Final,,0.3,Outdoor,https://tf.tfrrs.org/athletes/6594839/Virginia/Andrenette_Knight.html,verified 2021 outdoor result; school audit working file
Andrenette Knight,Virginia,ACC,100H,2021,,,,FS,s,NCAA Division I East Preliminary Round,2021-05-26,Round 1,,2.2,Outdoor,https://tf.tfrrs.org/athletes/6594839/Virginia/Andrenette_Knight.html,verified 2021 outdoor result; school audit working file
Khyasia Caldwell,Virginia,ACC,Long Jump,2021,SO,,,6.26,m,NCAA Division I East Preliminary Round,2021-05-26,Final,11,1.5,Outdoor,https://tfrrs.org/athletes/6594835/Virginia/Khyasia_Caldwell.html,verified 2021 outdoor result; school audit working file
Khyasia Caldwell,Virginia,ACC,Long Jump,2021,SO,,,5.88,m,NCAA Division I Track & Field Championships,2021-06-09,Final,23,0.7,Outdoor,https://tfrrs.org/athletes/6594835/Virginia/Khyasia_Caldwell.html,verified 2021 outdoor result; school audit working file
