athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Ella Madson,Florida State,ACC,100H,2021,FR,,,15.15,s,USF Bulls Invitational,2021-03-20,Final,10,-1.4,Outdoor,https://seminoles.com/sports/womens-track-and-field/roster/ella-madson/81,verified FSU official athlete bio; partial school audit
Ella Madson,Florida State,ACC,100H,2021,FR,,,17.48,s,FSU Relays,2021-03-26,Final,11,0.1,Outdoor,https://seminoles.com/sports/womens-track-and-field/roster/ella-madson/81,verified FSU official athlete bio; partial school audit
Alonie Sutton,Florida State,ACC,Long Jump,2021,SR,,,6.43,m,FSU Relays,2021-03-26,Final,2,,Outdoor,https://seminoles.com/sports/womens-track-and-field/roster/alonie-sutton/4346,verified FSU official athlete bio; partial school audit
Ella Madson,Florida State,ACC,Long Jump,2021,FR,,,5.73,m,FSU Relays,2021-03-26,Final,,,Outdoor,https://seminoles.com/sports/womens-track-and-field/roster/ella-madson/81,verified FSU official athlete bio; partial school audit
Ella Madson,Florida State,ACC,100H,2021,FR,,,14.75,s,Pepsi Florida Relays,2021-04-03,Final,24,2.6,Outdoor,https://seminoles.com/sports/womens-track-and-field/roster/ella-madson/81,verified FSU official athlete bio; partial school audit
Ella Madson,Florida State,ACC,Long Jump,2021,FR,,,5.55,m,Pepsi Florida Relays,2021-04-03,Final,17,,Outdoor,https://seminoles.com/sports/womens-track-and-field/roster/ella-madson/81,verified FSU official athlete bio; partial school audit
Ella Madson,Florida State,ACC,100H,2021,FR,,,14.57,s,UF Tom Jones Invitational,2021-04-17,Final,,-1.3,Outdoor,https://seminoles.com/sports/womens-track-and-field/roster/ella-madson/81,verified FSU official athlete bio; partial school audit
Ella Madson,Florida State,ACC,400m,2021,FR,,,59.15,s,UF Tom Jones Invitational,2021-04-17,Final,,,Outdoor,https://seminoles.com/sports/womens-track-and-field/roster/ella-madson/81,verified FSU official athlete bio; partial school audit
Alonie Sutton,Florida State,ACC,Long Jump,2021,SR,,,6.13,m,UF Tom Jones Invitational,2021-04-17,Final,8,,Outdoor,https://seminoles.com/sports/womens-track-and-field/roster/alonie-sutton/4346,verified FSU official athlete bio; partial school audit
Ella Madson,Florida State,ACC,Long Jump,2021,FR,,,5.55,m,UF Tom Jones Invitational,2021-04-17,Final,21,,Outdoor,https://seminoles.com/sports/womens-track-and-field/roster/ella-madson/81,verified FSU official athlete bio; partial school audit
Alonie Sutton,Florida State,ACC,Long Jump,2021,SR,,,6.17,m,North Florida Invite,2021-04-29,Final,4,,Outdoor,https://seminoles.com/sports/womens-track-and-field/roster/alonie-sutton/4346,verified FSU official athlete bio; partial school audit
Ruta Lasmane,Florida State,ACC,Long Jump,2021,FR,,,6.09,m,North Florida Invite,2021-04-29,Final,5,,Outdoor,https://seminoles.com/sports/womens-track-and-field/roster/ruta-lasmane/4324,verified FSU official athlete bio; partial school audit
Alonie Sutton,Florida State,ACC,Long Jump,2021,SR,,,6.02,m,ACC Outdoor Championships,2021-05-13,Final,10,,Outdoor,https://seminoles.com/sports/womens-track-and-field/roster/alonie-sutton/4346,verified FSU official athlete bio; partial school audit
Ruta Lasmane,Florida State,ACC,Long Jump,2021,FR,,,6.17,m,ACC Outdoor Championships,2021-05-13,Final,6,,Outdoor,https://seminoles.com/sports/womens-track-and-field/roster/ruta-lasmane/4324,verified FSU official athlete bio; partial school audit
Alonie Sutton,Florida State,ACC,Long Jump,2021,SR,,,6.19,m,NCAA Division I East Preliminary Round,2021-05-27,Final,16,,Outdoor,https://seminoles.com/sports/womens-track-and-field/roster/alonie-sutton/4346,verified FSU official athlete bio; partial school audit
