athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Jacklyn Howell,Kentucky,SEC,100H,2016,SO,,,FS,seconds,Baldy Castillo Invitational,2016-03-19,Final,,-0.8,Outdoor,https://www.tfrrs.org/athletes/5116165,Verified 2016 outdoor result; historical coverage check pending
Jacklyn Howell,Kentucky,SEC,100H,2016,SO,,,13.09,seconds,Florida Relays,2016-04-01,Final,5,2.1,Outdoor,https://www.tfrrs.org/athletes/5116165,Verified 2016 outdoor result; historical coverage check pending
Jacklyn Howell,Kentucky,SEC,400H,2016,SO,,,61.98,seconds,Florida Relays,2016-04-01,Final,28,,Outdoor,https://www.tfrrs.org/athletes/5116165,Verified 2016 outdoor result; historical coverage check pending
Jacklyn Howell,Kentucky,SEC,100H,2016,SO,,,13.14,seconds,Spec Towns Invitational 2016,2016-04-08,Final,,1.4,Outdoor,https://www.tfrrs.org/athletes/5116165,Verified 2016 outdoor result; historical coverage check pending
Jacklyn Howell,Kentucky,SEC,400H,2016,SO,,,65.73,seconds,Spec Towns Invitational 2016,2016-04-09,Final,,,Outdoor,https://www.tfrrs.org/athletes/5116165,Verified 2016 outdoor result; historical coverage check pending
Jacklyn Howell,Kentucky,SEC,100H,2016,SO,,,13.15,seconds,Virginia Challenge,2016-04-22,Final,,1.1,Outdoor,https://www.tfrrs.org/athletes/5116165,Verified 2016 outdoor result; historical coverage check pending
Sha'Keela Saunders,Kentucky,SEC,Long Jump,2016,SR,,,6.51,meters,Virginia Challenge,2016-04-22,Final,4,-1.2,Outdoor,https://www.tfrrs.org/athletes/4177198/Kentucky/Sha%27Keela_Saunders.html,Verified 2016 outdoor result; historical coverage check pending
Jacklyn Howell,Kentucky,SEC,400H,2016,SO,,,64.32,seconds,Virginia Challenge,2016-04-23,Final,,,Outdoor,https://www.tfrrs.org/athletes/5116165,Verified 2016 outdoor result; historical coverage check pending
Kiah Seymour,Kentucky,SEC,400H,2016,JR,,,56.1,seconds,Virginia Challenge,2016-04-23,Final,2,,Outdoor,https://upload.tfrrs.org/athletes/5649579/Kentucky/Kiah_Seymour.html,Verified 2016 outdoor result; historical coverage check pending
Jacklyn Howell,Kentucky,SEC,100H,2016,SO,,,12.87,seconds,LSU Invitational,2016-04-30,Final,,2.1,Outdoor,https://www.tfrrs.org/athletes/5116165,Verified 2016 outdoor result; historical coverage check pending
Kiah Seymour,Kentucky,SEC,400H,2016,JR,,,55.2,seconds,LSU Invitational,2016-04-30,Final,2,,Outdoor,https://upload.tfrrs.org/athletes/5649579/Kentucky/Kiah_Seymour.html,Verified 2016 outdoor result; historical coverage check pending
Sha'Keela Saunders,Kentucky,SEC,Long Jump,2016,SR,,,6.66,meters,LSU Invitational,2016-04-30,Final,2,3.4,Outdoor,https://www.tfrrs.org/athletes/4177198/Kentucky/Sha%27Keela_Saunders.html,Verified 2016 outdoor result; historical coverage check pending
Jacklyn Howell,Kentucky,SEC,100H,2016,SO,,,13.09,seconds,SEC Championships,2016-05-13,Prelim,3,0.1,Outdoor,https://www.tfrrs.org/athletes/5116165,Verified 2016 outdoor result; historical coverage check pending
Jasmine Camacho-Quinn,Kentucky,SEC,100H,2016,FR,,,12.8,seconds,SEC Championships,2016-05-13,Prelim,1,0.4,Outdoor,https://tf.tfrrs.org/athletes/5602993/Kentucky/Jasmine_Camacho-Quinn.html,Verified 2016 outdoor result; historical coverage check pending
