athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Chloe Abbott,Kentucky,SEC,400m,2019,JR,,,51.59,seconds,UTSA Invitational,2019-03-15,Final,1,,Outdoor,https://tfrrs.org/athletes/6995379/Kentucky/Chloe_Abbott,Verified 2019 outdoor result; audited against available official/indexed sources
Chloe Abbott,Kentucky,SEC,400m,2019,JR,,,51.61,seconds,Florida Relays,2019-03-28,Final,2,,Outdoor,https://tfrrs.org/athletes/6995379/Kentucky/Chloe_Abbott,Verified 2019 outdoor result; audited against available official/indexed sources
Chloe Abbott,Kentucky,SEC,400m,2019,JR,,,53.19,seconds,Tennessee Relays,2019-04-11,Final,2,,Outdoor,https://tfrrs.org/athletes/6995379/Kentucky/Chloe_Abbott,Verified 2019 outdoor result; audited against available official/indexed sources
Chloe Abbott,Kentucky,SEC,400m,2019,JR,,,52.72,seconds,Kentucky Track & Field Invitational,2019-04-20,Final,1,,Outdoor,https://tfrrs.org/athletes/6995379/Kentucky/Chloe_Abbott,Verified 2019 outdoor result; audited against available official/indexed sources
Chloe Abbott,Kentucky,SEC,400m,2019,JR,,,51.80,seconds,SEC Outdoor Track & Field Championships,2019-05-09,Prelim,1,,Outdoor,https://tfrrs.org/athletes/6995379/Kentucky/Chloe_Abbott,Verified 2019 outdoor result; audited against available official/indexed sources
Chloe Abbott,Kentucky,SEC,400m,2019,JR,,,51.82,seconds,SEC Outdoor Track & Field Championships,2019-05-09,Final,4,,Outdoor,https://tfrrs.org/athletes/6995379/Kentucky/Chloe_Abbott,Verified 2019 outdoor result; audited against available official/indexed sources
Chloe Abbott,Kentucky,SEC,400m,2019,JR,,,51.44,seconds,NCAA Division I East Region Preliminary Rounds,2019-05-23,First Round,1,,Outdoor,https://tfrrs.org/athletes/6995379/Kentucky/Chloe_Abbott,Verified 2019 outdoor result; audited against available official/indexed sources
Chloe Abbott,Kentucky,SEC,400m,2019,JR,,,51.32,seconds,NCAA Division I East Region Preliminary Rounds,2019-05-23,Quarterfinal,1,,Outdoor,https://tfrrs.org/athletes/6995379/Kentucky/Chloe_Abbott,Verified 2019 outdoor result; audited against available official/indexed sources
Chloe Abbott,Kentucky,SEC,400m,2019,JR,,,51.59,seconds,NCAA Division I Outdoor Track & Field Championships,2019-06-05,Semifinal,4,,Outdoor,https://tfrrs.org/athletes/6995379/Kentucky/Chloe_Abbott,Verified 2019 outdoor result; audited against available official/indexed sources
Chloe Abbott,Kentucky,SEC,400m,2019,JR,,,50.98,seconds,NCAA Division I Outdoor Track & Field Championships,2019-06-05,Final,2,,Outdoor,https://tfrrs.org/athletes/6995379/Kentucky/Chloe_Abbott,Verified 2019 outdoor result; audited against available official/indexed sources
Faith Ross,Kentucky,SEC,100H,2019,JR,,,14.06,seconds,UTSA Invitational,2019-03-15,Final,2,+0.0,Outdoor,https://www.tfrrs.org/athletes/6083682/Kentucky/Ross_Faith,Verified 2019 outdoor result; audited against available official/indexed sources
Faith Ross,Kentucky,SEC,100H,2019,JR,,,13.62,seconds,Vanderbilt Black & Gold Invitational,2019-03-22,Final,1,-1.0,Outdoor,https://www.tfrrs.org/athletes/6083682/Kentucky/Ross_Faith,Verified 2019 outdoor result; audited against available official/indexed sources
Faith Ross,Kentucky,SEC,100H,2019,JR,,,13.32,seconds,Florida Relays,2019-03-28,Final,3,2.2,Outdoor,https://www.tfrrs.org/athletes/6083682/Kentucky/Ross_Faith,Verified 2019 outdoor result; audited against available official/indexed sources
Faith Ross,Kentucky,SEC,100H,2019,JR,,,12.89,seconds,Tennessee Relays,2019-04-11,Final,1,2.6,Outdoor,https://www.tfrrs.org/athletes/6083682/Kentucky/Ross_Faith,Verified 2019 outdoor result; audited against available official/indexed sources
Faith Ross,Kentucky,SEC,100H,2019,JR,,,16.42,seconds,Kentucky Track & Field Invitational,2019-04-20,Final,15,0.1,Outdoor,https://www.tfrrs.org/athletes/6083682/Kentucky/Ross_Faith,Verified 2019 outdoor result; audited against available official/indexed sources
Faith Ross,Kentucky,SEC,100H,2019,JR,,,13.24,seconds,Drake Relays presented by Hy-Vee,2019-04-24,Prelim,3,3.0,Outdoor,https://www.tfrrs.org/athletes/6083682/Kentucky/Ross_Faith,Verified 2019 outdoor result; audited against available official/indexed sources
Faith Ross,Kentucky,SEC,100H,2019,JR,,,13.30,seconds,Drake Relays presented by Hy-Vee,2019-04-24,Final,1,2.3,Outdoor,https://www.tfrrs.org/athletes/6083682/Kentucky/Ross_Faith,Verified 2019 outdoor result; audited against available official/indexed sources
Faith Ross,Kentucky,SEC,100H,2019,JR,,,13.19,seconds,SEC Outdoor Track & Field Championships,2019-05-09,Prelim,5,0.2,Outdoor,https://www.tfrrs.org/athletes/6083682/Kentucky/Ross_Faith,Verified 2019 outdoor result; audited against available official/indexed sources
Faith Ross,Kentucky,SEC,100H,2019,JR,,,13.38,seconds,SEC Outdoor Track & Field Championships,2019-05-09,Final,9,1.3,Outdoor,https://www.tfrrs.org/athletes/6083682/Kentucky/Ross_Faith,Verified 2019 outdoor result; audited against available official/indexed sources
Faith Ross,Kentucky,SEC,100H,2019,JR,,,13.31,seconds,NCAA Division I East Region Preliminary Rounds,2019-05-23,First Round,11,0.8,Outdoor,https://www.tfrrs.org/athletes/6083682/Kentucky/Ross_Faith,Verified 2019 outdoor result; audited against available official/indexed sources
Faith Ross,Kentucky,SEC,100H,2019,JR,,,12.97,seconds,NCAA Division I East Region Preliminary Rounds,2019-05-23,Quarterfinal,7,2.3,Outdoor,https://www.tfrrs.org/athletes/6083682/Kentucky/Ross_Faith,Verified 2019 outdoor result; audited against available official/indexed sources
Faith Ross,Kentucky,SEC,100H,2019,JR,,,FS,seconds,NCAA Division I Outdoor Track & Field Championships,2019-06-05,Semifinal,,1.1,Outdoor,https://www.tfrrs.org/athletes/6083682/Kentucky/Ross_Faith,Verified 2019 outdoor result; audited against available official/indexed sources
Faith Ross,Kentucky,SEC,400H,2019,JR,,,59.32,seconds,UTSA Invitational,2019-03-15,Final,2,,Outdoor,https://www.tfrrs.org/athletes/6083682/Kentucky/Ross_Faith,Verified 2019 outdoor result; audited against available official/indexed sources
