athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Frye, Eddiyah",Georgia,SEC,100H,2022,FR-1,,,13.68,seconds,Georgia Tech Yellow Jacket Invitational,2022-03-18,,,0.4,Outdoor,https://www.tfrrs.org/results/73542/4425687/Georgia_Tech_Yellow_Jacket_Invitational/100-Hurdles,TFRRS all_performances
"Jackson, Destiny",Georgia,SEC,400m,2022,JR-3,,,54.14,seconds,Georgia Tech Yellow Jacket Invitational,2022-03-18,,,,Outdoor,https://www.tfrrs.org/results/73542/4425685/Georgia_Tech_Yellow_Jacket_Invitational/400-Meters,TFRRS all_performances
"McClintock, Halle",Georgia,SEC,400m,2022,SR-4,,,56.24,seconds,Georgia Tech Yellow Jacket Invitational,2022-03-18,,,,Outdoor,https://www.tfrrs.org/results/73542/4425685/Georgia_Tech_Yellow_Jacket_Invitational/400-Meters,TFRRS all_performances
"Carothers, Imani",Georgia,SEC,100H,2022,JR-3,,,13.46,seconds,Florida State Relays,2022-03-24,,,-0.4,Outdoor,https://www.tfrrs.org/results/73791/4439083/Florida_State_Relays/100-Hurdles,TFRRS all_performances
"Frye, Eddiyah",Georgia,SEC,100H,2022,FR-1,,,13.70,seconds,Florida State Relays,2022-03-24,,,-0.4,Outdoor,https://www.tfrrs.org/results/73791/4439083/Florida_State_Relays/100-Hurdles,TFRRS all_performances
"Witt, Bella",Georgia,SEC,100H,2022,FR-1,,,14.19,seconds,Florida State Relays,2022-03-24,,,-0.4,Outdoor,https://www.tfrrs.org/results/73791/4439083/Florida_State_Relays/100-Hurdles,TFRRS all_performances
"Carothers, Imani",Georgia,SEC,100H,2022,JR-3,,,13.46,seconds,FSU Relays,2022-03-25,Final,1,,Outdoor,https://georgiadogs.com/sports/track-and-field/roster/imani-carothers/4950,legacy_source_needs_review
"Witt, Bella",Georgia,SEC,100H,2022,FR-1,,,14.19,seconds,FSU Relays,2022-03-25,Final,4,,Outdoor,https://georgiadogs.com/sports/track-and-field/roster/bella-witt/7640,legacy_source_needs_review
"Marsh, Titiana",Georgia,SEC,Long Jump,2022,JR-3,,,6.32,m,Florida Relays,2022-03-31,,,0.2,Outdoor,https://www.tfrrs.org/results/72948/4463900/Florida_Relays/Long-Jump,TFRRS all_performances
"Frye, Eddiyah",Georgia,SEC,100H,2022,FR-1,,,13.52,seconds,UF Tom Jones Memorial,2022-04-15,,,-1.0,Outdoor,https://www.tfrrs.org/results/73497/4502589/UF_Tom_Jones_Memorial/100-Hurdles,TFRRS all_performances
"Frye, Eddiyah",Georgia,SEC,Long Jump,2022,FR-1,,,5.78,m,UF Tom Jones Memorial,2022-04-15,,,1.2,Outdoor,https://www.tfrrs.org/results/73497/4502590/UF_Tom_Jones_Memorial/Long-Jump,TFRRS all_performances
"Marsh, Titiana",Georgia,SEC,Long Jump,2022,JR-3,,,6.23,m,UF Tom Jones Memorial,2022-04-15,,,1.5,Outdoor,https://www.tfrrs.org/results/73497/4502560/UF_Tom_Jones_Memorial/Long-Jump,TFRRS all_performances
"Carothers, Imani",Georgia,SEC,100H,2022,JR-3,,,13.82,seconds,Georgia Tech Invitational,2022-04-22,,,-0.5,Outdoor,https://www.tfrrs.org/results/74751/4516397/Georgia_Tech_Invitational/100-Hurdles,TFRRS all_performances
"Frye, Eddiyah",Georgia,SEC,100H,2022,FR-1,,,13.38,seconds,Georgia Tech Invitational,2022-04-22,,,-0.5,Outdoor,https://www.tfrrs.org/results/74751/4516397/Georgia_Tech_Invitational/100-Hurdles,TFRRS all_performances
"Witt, Bella",Georgia,SEC,100H,2022,FR-1,,,14.24,seconds,Georgia Tech Invitational,2022-04-22,,,-0.5,Outdoor,https://www.tfrrs.org/results/74751/4516397/Georgia_Tech_Invitational/100-Hurdles,TFRRS all_performances
"Jackson, Destiny",Georgia,SEC,400m,2022,JR-3,,,54.26,seconds,Georgia Tech Invitational,2022-04-22,,,,Outdoor,https://www.tfrrs.org/results/74751/4516396/Georgia_Tech_Invitational/400-Meters,TFRRS all_performances
"Frye, Eddiyah",Georgia,SEC,Long Jump,2022,FR-1,,,5.65,m,Georgia Tech Invitational,2022-04-22,,,-0.3,Outdoor,https://www.tfrrs.org/results/74751/4516399/Georgia_Tech_Invitational/Long-Jump,TFRRS all_performances
"Carothers, Imani",Georgia,SEC,100H,2022,JR-3,,,17.67,seconds,Torrin Lawrence Memorial Invite,2022-04-29,,,0.3,Outdoor,https://www.tfrrs.org/results/74967/4535934/Torrin_Lawrence_Memorial_Invite/100-Hurdles,TFRRS all_performances
