athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Maddie Beaubien,South Carolina,SEC,400m,2017,FR,,,56.56,seconds,Weems Baskin Invitational,2017-03-25,Final,16,,Outdoor,https://storage.googleapis.com/gamecocksonline-com/2018/06/f1106ed3-scar_c_track_2016_17_misc_non_event__2017outdoorprogressions.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Marisa Bellamy,South Carolina,SEC,400m,2017,R-JR,,,55.76,seconds,Hurricane Invitational,2017-03-18,Final,3,,Outdoor,https://storage.googleapis.com/gamecocksonline-com/2018/06/f1106ed3-scar_c_track_2016_17_misc_non_event__2017outdoorprogressions.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Marisa Bellamy,South Carolina,SEC,400m,2017,R-JR,,,54.77,seconds,Florida Relays,2017-03-31,Final,21,,Outdoor,https://storage.googleapis.com/gamecocksonline-com/2018/06/f1106ed3-scar_c_track_2016_17_misc_non_event__2017outdoorprogressions.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Marisa Bellamy,South Carolina,SEC,400m,2017,R-JR,,,54.83,seconds,Gamecock Invitational,2017-04-15,Final,8,,Outdoor,https://storage.googleapis.com/gamecocksonline-com/2018/06/f1106ed3-scar_c_track_2016_17_misc_non_event__2017outdoorprogressions.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Marisa Bellamy,South Carolina,SEC,400m,2017,R-JR,,,55.60,seconds,SEC Outdoor Track & Field Championships,2017-05-12,Prelim,25,,Outdoor,https://storage.googleapis.com/gamecocksonline-com/2018/06/f1106ed3-scar_c_track_2016_17_misc_non_event__2017outdoorprogressions.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Precious Holmes,South Carolina,SEC,400m,2017,R-JR,,,54.07,seconds,Hurricane Invitational,2017-03-18,Final,1,,Outdoor,https://storage.googleapis.com/gamecocksonline-com/2018/06/f1106ed3-scar_c_track_2016_17_misc_non_event__2017outdoorprogressions.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Precious Holmes,South Carolina,SEC,400m,2017,R-JR,,,54.89,seconds,Weems Baskin Invitational,2017-03-25,Final,7,,Outdoor,https://storage.googleapis.com/gamecocksonline-com/2018/06/f1106ed3-scar_c_track_2016_17_misc_non_event__2017outdoorprogressions.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Precious Holmes,South Carolina,SEC,400m,2017,R-JR,,,55.75,seconds,Florida Relays,2017-03-31,Final,32,,Outdoor,https://storage.googleapis.com/gamecocksonline-com/2018/06/f1106ed3-scar_c_track_2016_17_misc_non_event__2017outdoorprogressions.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Precious Holmes,South Carolina,SEC,400m,2017,R-JR,,,53.56,seconds,SEC Outdoor Track & Field Championships,2017-05-12,Prelim,13,,Outdoor,https://storage.googleapis.com/gamecocksonline-com/2018/06/f1106ed3-scar_c_track_2016_17_misc_non_event__2017outdoorprogressions.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Precious Holmes,South Carolina,SEC,400m,2017,R-JR,,,53.56,seconds,NCAA Division I East Preliminary Round,2017-05-25,First Round,15,,Outdoor,https://storage.googleapis.com/gamecocksonline-com/2018/06/f1106ed3-scar_c_track_2016_17_misc_non_event__2017outdoorprogressions.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Precious Holmes,South Carolina,SEC,400m,2017,R-JR,,,53.28,seconds,NCAA Division I East Preliminary Round,2017-05-26,Quarterfinal,22,,Outdoor,https://storage.googleapis.com/gamecocksonline-com/2018/06/f1106ed3-scar_c_track_2016_17_misc_non_event__2017outdoorprogressions.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Maya Evans,South Carolina,SEC,400m,2017,SR,,,55.11,seconds,Weems Baskin Invitational,2017-03-25,Final,8,,Outdoor,https://storage.googleapis.com/gamecocksonline-com/2018/06/f1106ed3-scar_c_track_2016_17_misc_non_event__2017outdoorprogressions.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Maya Evans,South Carolina,SEC,400m,2017,SR,,,55.88,seconds,SEC Outdoor Track & Field Championships,2017-05-12,Prelim,26,,Outdoor,https://storage.googleapis.com/gamecocksonline-com/2018/06/f1106ed3-scar_c_track_2016_17_misc_non_event__2017outdoorprogressions.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Aalayah Sanders,South Carolina,SEC,400m,2017,SR,,,55.94,seconds,Hurricane Invitational,2017-03-18,Final,5,,Outdoor,https://storage.googleapis.com/gamecocksonline-com/2018/06/f1106ed3-scar_c_track_2016_17_misc_non_event__2017outdoorprogressions.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Aalayah Sanders,South Carolina,SEC,400m,2017,SR,,,55.27,seconds,Weems Baskin Invitational,2017-03-25,Final,9,,Outdoor,https://storage.googleapis.com/gamecocksonline-com/2018/06/f1106ed3-scar_c_track_2016_17_misc_non_event__2017outdoorprogressions.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Aalayah Sanders,South Carolina,SEC,400m,2017,SR,,,55.06,seconds,Florida Relays,2017-03-31,Final,25,,Outdoor,https://storage.googleapis.com/gamecocksonline-com/2018/06/f1106ed3-scar_c_track_2016_17_misc_non_event__2017outdoorprogressions.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Aalayah Sanders,South Carolina,SEC,400m,2017,SR,,,56.15,seconds,Spec Towns Invitational,2017-04-08,Final,6,,Outdoor,https://storage.googleapis.com/gamecocksonline-com/2018/06/f1106ed3-scar_c_track_2016_17_misc_non_event__2017outdoorprogressions.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Aalayah Sanders,South Carolina,SEC,400m,2017,SR,,,56.71,seconds,SEC Outdoor Track & Field Championships,2017-05-12,Prelim,32,,Outdoor,https://storage.googleapis.com/gamecocksonline-com/2018/06/f1106ed3-scar_c_track_2016_17_misc_non_event__2017outdoorprogressions.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Funlayo Oluwole,South Carolina,SEC,100H,2017,SO,,,14.42,seconds,Hurricane Invitational,2017-03-18,Final,5,,Outdoor,https://storage.googleapis.com/gamecocksonline-com/2018/06/f1106ed3-scar_c_track_2016_17_misc_non_event__2017outdoorprogressions.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
