athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Harris, Caelyn",Alabama,SEC,Long Jump,2023,FR-1,,,6.00,m,Joe Walker Invitational 2023,2023-04-07,,,1.3,Outdoor,https://www.tfrrs.org/results/77698/4797639/Joe_Walker_Invitational_2023/Long-Jump,TFRRS all_performances
"Conteh, Margaret",Alabama,SEC,400m,2023,FR-1,,,54.62,seconds,UF Tom Jones Memorial,2023-04-14,,,,Outdoor,https://www.tfrrs.org/results/78102/4824405/UF_Tom_Jones_Memorial/400-Meters,TFRRS all_performances
"Harris, Caelyn",Alabama,SEC,Long Jump,2023,FR-1,,,5.67,m,UF Tom Jones Memorial,2023-04-14,,,1.2,Outdoor,https://www.tfrrs.org/results/78102/4824431/UF_Tom_Jones_Memorial/Long-Jump,TFRRS all_performances
"Ballard, Na'Taja",Alabama,SEC,400m,2023,SO-2,,,54.01,seconds,Crimson Tide Invitational,2023-04-21,,,,Outdoor,https://www.tfrrs.org/results/80387/4854804/Crimson_Tide_Invitational/400-Meters,TFRRS all_performances
"Conteh, Margaret",Alabama,SEC,400m,2023,FR-1,,,55.16,seconds,Crimson Tide Invitational,2023-04-21,,,,Outdoor,https://www.tfrrs.org/results/80387/4854804/Crimson_Tide_Invitational/400-Meters,TFRRS all_performances
"Obi, Amarachukwu",Alabama,SEC,400m,2023,JR-3,,,54.99,seconds,Crimson Tide Invitational,2023-04-21,,,,Outdoor,https://www.tfrrs.org/results/80387/4854804/Crimson_Tide_Invitational/400-Meters,TFRRS all_performances
"Harris, Caelyn",Alabama,SEC,Long Jump,2023,FR-1,,,6.01,m,Crimson Tide Invitational,2023-04-21,,,-0.6,Outdoor,https://www.tfrrs.org/results/80387/4854820/Crimson_Tide_Invitational/Long-Jump,TFRRS all_performances
"Conteh, Margaret",Alabama,SEC,400m,2023,FR-1,,,56.11,seconds,LSU Invitational,2023-04-29,,,,Outdoor,https://www.tfrrs.org/results/78407/4880389/LSU_Invitational/400-Meters,TFRRS all_performances
"Obi, Amarachukwu",Alabama,SEC,400m,2023,JR-3,,,55.70,seconds,LSU Invitational,2023-04-29,,,,Outdoor,https://www.tfrrs.org/results/78407/4880389/LSU_Invitational/400-Meters,TFRRS all_performances
"Spicer, Chanice",Alabama,SEC,400m,2023,SO-2,,,56.67,seconds,LSU Invitational,2023-04-29,,,,Outdoor,https://www.tfrrs.org/results/78407/4880389/LSU_Invitational/400-Meters,TFRRS all_performances
"Harris, Caelyn",Alabama,SEC,Long Jump,2023,FR-1,,,5.79,m,LSU Invitational,2023-04-29,,,-1.4,Outdoor,https://www.tfrrs.org/results/78407/4880371/LSU_Invitational/Long-Jump,TFRRS all_performances
"Conteh, Margaret",Alabama,SEC,400m,2023,FR-1,,,56.62,seconds,SEC Outdoor Track & Field Championships,2023-05-11,,,,Outdoor,https://www.tfrrs.org/results/80833/4923403/SEC_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"Obi, Amarachukwu",Alabama,SEC,400m,2023,JR-3,,,54.65,seconds,SEC Outdoor Track & Field Championships,2023-05-11,,,,Outdoor,https://www.tfrrs.org/results/80833/4923403/SEC_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"Spicer, Chanice",Alabama,SEC,400m,2023,SO-2,,,57.09,seconds,SEC Outdoor Track & Field Championships,2023-05-11,,,,Outdoor,https://www.tfrrs.org/results/80833/4923403/SEC_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"Harris, Caelyn",Alabama,SEC,Long Jump,2023,FR-1,,,6.27,m,SEC Outdoor Track & Field Championships,2023-05-11,,,1.2,Outdoor,https://www.tfrrs.org/results/80833/4923386/SEC_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
"Harris, Caelyn",Alabama,SEC,Long Jump,2023,FR-1,,,6.41,m,NCAA East Preliminary Round,2023-05-25,,,1.4,Outdoor,https://www.tfrrs.org/results/81274/4936791/NCAA_East_Preliminary_Round/Long-Jump,TFRRS all_performances
"Harris, Caelyn",Alabama,SEC,Long Jump,2023,FR-1,,,6.00,m,NCAA Division I Outdoor Track & Field Championships,2023-06-07,,,-0.7,Outdoor,https://www.tfrrs.org/results/81300/4938104/NCAA_Division_I_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
