athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
JodyAnn Dixon,Clemson,ACC,400H,2025,SR-4,,,59.25,s,UCF Black and Gold Challenge,2025-03-21,Final,,,Outdoor,https://clemsontigers.com/sports/track-field/roster/player/jodyann-dixon,verified_available
JodyAnn Dixon,Clemson,ACC,400m,2025,SR-4,,,54.14,s,UCF Black and Gold Challenge,2025-03-21,Final,,,Outdoor,https://clemsontigers.com/sports/track-field/roster/player/jodyann-dixon,verified_available
JodyAnn Dixon,Clemson,ACC,400H,2025,SR-4,,,58.66,s,Clyde Littlefield Texas Relays,2025-03-26,Final,,,Outdoor,https://clemsontigers.com/sports/track-field/roster/player/jodyann-dixon,verified_available
Oneka Wilson,Clemson,ACC,100H,2025,JR-3,,,13.16,s,Duke Invitational,2025-04-10,Final,1,1.0,Outdoor,https://www.tfrrs.org/results/87447/f/Duke_Invitational,verified_available
JodyAnn Dixon,Clemson,ACC,400H,2025,SR-4,,,57.48,s,Duke Invitational,2025-04-10,Final,,,Outdoor,https://clemsontigers.com/sports/track-field/roster/player/jodyann-dixon,verified_available
JodyAnn Dixon,Clemson,ACC,400H,2025,SR-4,,,56.36,s,Tom Jones Memorial Invitational,2025-04-18,Final,,,Outdoor,https://clemsontigers.com/sports/track-field/roster/player/jodyann-dixon,verified_available
Oneka Wilson,Clemson,ACC,100H,2025,JR-3,,,12.94,s,Penn Relays,2025-04-24,Final,,,Outdoor,https://clemsontigers.com/news/2025/06/13/wilson-advances-women-complete-second-day-of-outdoor-nationals,verified_available
JodyAnn Dixon,Clemson,ACC,400H,2025,SR-4,,,56.86,s,Penn Relays,2025-04-24,Final,,,Outdoor,https://clemsontigers.com/sports/track-field/roster/player/jodyann-dixon,verified_available
Isabelle Nebel,Clemson,ACC,400H,2025,SO-2,,,1:00.44,s,Duke Twilight,2025-05-04,Final,8,,Outdoor,https://www.tfrrs.org/results/87449/5626890/Duke_Twilight/Womens-400-Hurdles,verified_available
Aysia Fingall,Clemson,ACC,400H,2025,SO-2,,,1:02.01,s,ACC Outdoor Championships,2025-05-15,Prelim,24,,Outdoor,https://clemsontigers.com/news/2025/05/15/tigers-complete-first-day-of-acc-outdoor-championships,verified_available
Isabelle Nebel,Clemson,ACC,400H,2025,SO-2,,,59.25,s,ACC Outdoor Championships,2025-05-15,Prelim,12,,Outdoor,https://clemsontigers.com/news/2025/05/15/tigers-complete-first-day-of-acc-outdoor-championships,verified_available
JodyAnn Dixon,Clemson,ACC,400H,2025,SR-4,,,57.78,s,ACC Outdoor Championships,2025-05-15,Prelim,,,Outdoor,https://clemsontigers.com/sports/track-field/roster/player/jodyann-dixon,verified_available
Shantae Foreman,Clemson,ACC,Long Jump,2025,JR-3,,,6.59,m,ACC Outdoor Championships,2025-05-16,Final,2,2.1,Outdoor,https://clemsontigers.com/news/2025/05/18/women-finish-third-men-finish-sixth-at-acc-outdoor-championships,verified_available
Tia Stapleton,Clemson,ACC,Long Jump,2025,SO-2,,,5.93,m,ACC Outdoor Championships,2025-05-16,Final,20,3.6,Outdoor,https://clemsontigers.com/news/2025/05/18/women-finish-third-men-finish-sixth-at-acc-outdoor-championships,verified_available
Oneka Wilson,Clemson,ACC,100H,2025,JR-3,,,13.07,s,ACC Outdoor Championships,2025-05-18,Final,1,,Outdoor,https://clemsontigers.com/news/2025/05/18/women-finish-third-men-finish-sixth-at-acc-outdoor-championships,verified_available
JodyAnn Dixon,Clemson,ACC,400H,2025,SR-4,,,1:02.58,s,ACC Outdoor Championships,2025-05-18,Final,,,Outdoor,https://clemsontigers.com/sports/track-field/roster/player/jodyann-dixon,verified_available
Shanque Williams,Clemson,ACC,400m,2025,FR-1,,,52.69,s,ACC Outdoor Championships,2025-05-18,Final,4,,Outdoor,https://clemsontigers.com/news/2025/05/18/women-finish-third-men-finish-sixth-at-acc-outdoor-championships,verified_available
Oneka Wilson,Clemson,ACC,100H,2025,JR-3,,,12.95,s,NCAA Outdoor Championships,2025-06-12,Semifinal,8,,Outdoor,https://clemsontigers.com/news/2025/06/13/wilson-advances-women-complete-second-day-of-outdoor-nationals,verified_available
Oneka Wilson,Clemson,ACC,100H,2025,JR-3,,,13.02,s,NCAA Outdoor Championships,2025-06-14,Final,5,,Outdoor,https://clemsontigers.com/news/2025/06/15/foreman-secures-fourth-wilson-fifth-at-ncaa-outdoor-championships,verified_available
